|account_number|annual_report_due_date|began_transacting_in_ct|business_city|business_country|business_email_address|business_name_in_state_country|business_state|business_street|business_type|business_unit|business_zip_code|category_survey_email_address|citizenship|country_formation|created_on|date_of_organization_meeting|disable_person_owned_organization|dissolution_date|formation_place|id|mail_jurisdiction|mailing_address|mailing_international_address|mailing_jurisdiction_address|mailing_jurisdiction_business_city|mailing_jurisdiction_business_country|mailing_jurisdiction_business_state|mailing_jurisdiction_business_street|mailing_jurisdiction_business_unit|mailing_jurisdiction_business_zip_code|minority_owned_organization|naics_code|naics_sub_code|name|office_jurisdiction_address|office_jurisdiction_business_city|office_jurisdiction_business_state|office_jurisdiction_business_street|office_jurisdiction_business_unit|office_jurisdiction_business_zip_code|office_jurisdiction_country|reason_for_administrative_dissolution|record_address|records_address_city|records_address_country|records_address_state|records_address_street|records_address_unit|records_address_zip_code|registration_date|state_or_territory_formation|status|sub_status|total_authorized_shares|veteran_owned_organization|woman_owned_organization
230000|1306161|2021-03-31T00:00:00||Santa Barbara|United States|jennymlev@mac.com||CA|830 Riven Rock Road|Llc||93108||Domestic||2022-05-18T00:13:10.910000||False||Ca|row-win7~gkj8.3ktn|||||||||||False|Lessors of Residential Buildings and Dwellings (531110)|531110|538 Round Hill Road Llc||||||||||||||||2019-04-11T00:00:00|Connecticut|Active|Annual report past due||False|True
230001|1305801|2020-03-31T00:00:00||Torrington|United States|MICHAEL.REED@UINET.COM||CT|92 Mikelin Drive|Llc||06790||Domestic||2022-05-18T00:13:10.146666||False||Ct|row-7xck.ftm8-ig2e|||||||||||False|||Pure Renovation & Rentals Llc||||||||Failure to file annual report||||||||2019-04-10T00:00:00|Connecticut|Active|Ready for dissolution||False|False
230002|1308401|2022-03-31T00:00:00||Old Saybrook|United States|lperillo3@gmail.com||CT|2 Atlantic Drive|Llc||06475||Domestic||2022-05-18T00:13:14.910000||False||Ct|row-56bz~cg2y-bdci|||||||||||False|Lessors of Nonresidential Buildings (except Miniwarehouses) (531120)|531120|1169 M&W Rd, Llc||||||||||||||||2019-05-03T00:00:00|Connecticut|Active|Annual report past due||False|False
230003|1305617|2023-03-31T00:00:00||New Milford|United States|james@vector-rescue.com||CT|69 Cherniske Road|Llc||06776||Domestic||2022-05-18T00:13:12.176666||False||Ct|row-m2an-br75.bgm8|||||||||||False|Professional and Management Development Training (611430)|611430|Vector Rescue Llc||||||||||||||||2019-04-09T00:00:00|Connecticut|Active|||False|False
230004|1307482|2023-04-23T00:00:00|2019-04-01T00:00:00|Hilliard|United States|rick.gemienhardt@ads-pipe.com|ADVANCED DRAINAGE SYSTEMS, INC.|OH|4640 Trueman Blvd|Stock||43026||Foreign|United States|2022-05-18T00:13:12.240000||False||De|row-ttwm-6dg5-95xt|||||||||||False|All Other Miscellaneous Manufacturing (339999)||Advanced Drainage Systems, Inc.||||||||||||||||2019-04-23T00:00:00|DE|Active|||False|False
230005|1307275|2022-04-15T00:00:00||West Haven|United States|agallo@stardistributors.com||CT|460 Frontage Rd|Limited Partnership||06516||Domestic||2022-05-18T00:13:12.896666||False||Ct|row-jvp3-a2cx-gqt8|||||||||||False|Trust, Fiduciary, and Custody Activities (523991)|523991|Ajg Associates Limited Partnership||||||||||||||||2019-04-16T00:00:00|Connecticut|Cancelled|||False|False
230006|1306133|2022-04-11T00:00:00|2019-03-15T00:00:00|Brackney|United States|shohn@hohnconstruction.com|HOHN CONSTRUCTION, INC.|PA|2234 State Line Road|Stock||18812||Foreign|United States|2022-05-18T00:13:10.833333||False||Pa|row-xadt.pfne-kmc2|||||||||||False|Commercial and Institutional Building Construction (236220)||Hohn Construction, Inc.||||||||||||||||2019-04-11T00:00:00|PA|Withdrawn|||False|False
230007|1305468|2021-03-31T00:00:00||Bridgeport|United States|Plentifulcw@gmail.com||CT|45 Nelson Terrace|Llc||06610||Domestic||2022-05-18T00:13:10.193333||False||Ct|row-b349-7ac7-hf56|||||||||||False|Other Clothing Stores (448190)|448190|Plentiful-Cw Llc||||||||||||||||2019-04-06T00:00:00|Connecticut|Active|Annual report past due||False|True
230008|1307183|2023-03-31T00:00:00||Greenwich|United States|jdominguez@belpointe.com||CT|881 Lake Avenue|Llc||06831||Domestic||2022-05-18T00:13:12.223333||False||Ct|row-9jbb-m2ua~hy86|||||||||||False|Lessors of Residential Buildings and Dwellings (531110)||71 Havemeyer, Llc||||||||||||||||2019-04-23T00:00:00|Connecticut|Active|||False|False
230009|1307638|2020-03-31T00:00:00||Stamford||||CT|1 Broad Street Unit 8C|Llc||06901||Domestic||2022-05-18T00:13:13.506666||False||Ct|row-tdu6-sp7h-ve88|||||||||||False|||Sa Ventures Llc||||||||Failure to file annual report||||||||2019-04-29T00:00:00|Connecticut|Active|Ready for dissolution||False|False
230010|1305894|2021-04-10T00:00:00||||THRUSHPREVENTIONINCORPORATED@GMAIL.COM|||No Information Provided|Stock||||Domestic||2022-05-18T00:13:10.910000||False||Ct|row-jnim~7gy8-aa7u|||||||||||False|||Thrush Prevention Inc.||||||||||||||||2019-04-10T00:00:00|Connecticut|Active|First report past due|20000|False|False
230011|1307664|2021-03-31T00:00:00||Meriden|United States|nikkicole19@comcast.net||CT|39 Atkins Street|Llc||06450||Domestic||2022-05-18T00:13:13.536666||False||Ct|row-n9zm~decr-h3yb|||||||||||False|Other Direct Selling Establishments (454390)|454390|Ario Roseanii, Llc||||||||||||||||2019-04-26T00:00:00|Connecticut|Active|Annual report past due||False|False
230012|1305920|2020-03-31T00:00:00||Danielson|United States|TDGRUNT@HOTMAIL.COM||CT|17 Shawnee Drive|Llc||06239||Domestic||2022-05-18T00:13:11.536666||False|2020-12-03T00:00:00|Ct|row-dnfj-5jhe-kkrs|||||||||||False|||Primal Provisions, Llc||||||||||||||||2019-04-10T00:00:00|Connecticut|Dissolved|||False|False
230013|1307957|2023-03-31T00:00:00||Waterford|United States|SCCHIMNEY@MSN.COM||CT|3 Eighth Ave|Llc||06385||Domestic||2022-05-18T00:13:13.506666||False||Ct|row-mstr~kfzn-pu4p|||||||||||False|All Other Specialty Trade Contractors (238990)|238990|Sean Clark Chimney Services Llc||||||||||||||||2019-04-30T00:00:00|Connecticut|Active|||False|False
230014|1306223|2023-03-31T00:00:00||Madison|United States|tfroehlich@middlesexc.com||CT|781 Boston Post Rd., Unit #1358|Llc||06443||Domestic||2022-05-18T00:13:11.566666||False||Ct|row-qn8f-7sin.rzn8|||||||||||False|Other Activities Related to Real Estate (531390)|531390|21 Brockway Ferry Road, Llc||||||||||||||||2019-04-15T00:00:00|Connecticut|Active|||False|False
230015|1306542|2021-03-31T00:00:00||Bridgeport|United States|ct-reports@statefilings.in||CT|135 Dayton|Llc||06606||Domestic||2022-05-18T00:13:12.193333||False||Ct|row-yiuw.3qdz~ttgu|||||||||||False|Cosmetics, Beauty Supplies, and Perfume Stores (446120)|446120|Jenna Jewels Luxury Hair Llc||||||||||||||||2019-04-17T00:00:00|Connecticut|Active|Annual report past due||False|False
230016|1308263|2020-03-31T00:00:00||Washington Depot||||CT|18 Titus Road|Llc||06794||Domestic||2022-05-18T00:13:13.506666||False||Ct|row-79vb-eapp-63kr|||||||||||False|||Mmt Advisors, Llc||||||||Failure to file annual report||||||||2019-05-01T00:00:00|Connecticut|Active|Ready for dissolution||False|False
230017|1308109|2020-03-31T00:00:00||Milford||||CT|702 North Street|Llc||06461||Domestic||2022-05-18T00:13:12.240000||False|2021-04-30T00:00:00|Ct|row-mfr2.a2wq~rhzh|||||||||||False|||66 Kent Street Llc||||||||||||||||2019-05-01T00:00:00|Connecticut|Dissolved|||False|False
230018|1306371|2020-03-31T00:00:00||Stamford||LISSETTE_TRRS@YAHOO.COM||CT|50 Woodside St Apt 3|Llc||06902||Domestic||2022-05-18T00:13:10.160000||False||Ct|row-y9yx-f5as.kvxj|||||||||||False|||Segundo Morocho Painting Llc||||||||Failure to file annual report||||||||2019-04-15T00:00:00|Connecticut|Active|Ready for dissolution||False|False
230019|1306312|2023-03-31T00:00:00||Torrington|United States|mbobowicz43@gmail.com||CT|839 Main Street, Apt 8|Llc||06790||Domestic||2022-05-18T00:13:09.473333||False||Ct|row-wgmt-4wpx~9scr|||||||||||False|Private Households (814110)|814110|Mb Housekeeping Llc||||||||||||||||2019-04-15T00:00:00|Connecticut|Active|||False|True
230020|1308076|2022-03-31T00:00:00||Weston|United States|dchase@morrisoncohen.com||CT|55 Treadwell Lane|Llc||06883||Domestic||2022-05-18T00:13:14.896666||False|2021-12-31T00:00:00|Ct|row-qn6e-wr4w-awi3|||||||||||False|Other Activities Related to Real Estate (531390)||27 Valley Field South, Llc||||||||||||||||2019-05-01T00:00:00|Connecticut|Dissolved|||False|False
230021|1307605|2020-03-31T00:00:00||Norwalk||LISSETTE_TRRS@YAHOO.COM||CT|122 S Main St|Llc||06854||Domestic||2022-05-18T00:13:13.426666||False||Ct|row-69qv~s4rn-key7|||||||||||False|||Gloria Abadillo Llc||||||||Failure to file annual report||||||||2019-04-29T00:00:00|Connecticut|Active|Ready for dissolution||False|False
230022|1306688|2020-03-31T00:00:00||North Bergen|United States|TRAVELINGTOEAT@GMAIL.COM||NJ|6403 Liberty Avenue, Apt 2D|Llc||07047||Domestic||2022-05-18T00:13:10.193333||False||Nj|row-izem.h98q-ekxz|||||||||||False|||Traveling To Eat Llc||||||||Failure to file annual report||||||||2019-04-17T00:00:00|Connecticut|Active|Ready for dissolution||False|False
230023|1304066|2021-03-26T00:00:00||||GIANA@PREMIERCFS.COM|||No Information Provided|Stock||||Domestic||2022-05-18T00:13:09.443333||False||Ct|row-c6y3.4478-nvxd|||||||||||False|||Mak Management Corporation||||||||||||||||2019-03-26T00:00:00|Connecticut|Active|First report past due|200|False|False
230024|1303480|2020-03-31T00:00:00||New Haven|United States|RRCLIENT@HOTMAIL.COM||CT|109 Ward Street|Llc||06519||Domestic||2022-05-18T00:13:10.786666||False||Ct|row-c7yh-3stv-fjzi|||||||||||False|||Manny Fence & Snow Llc||||||||Failure to file annual report||||||||2019-03-22T00:00:00|Connecticut|Active|Ready for dissolution||False|False
230025|1301012|2020-03-31T00:00:00||Riverside|United States|SHINE22INCHES@GMAIL.COM||CT|12 Perna Lane|Llc||06878||Domestic||2022-05-18T00:13:07.350000||False||Ct|row-b9vg-gazg.46gh|||||||||||False|||Currivan Construction Services, L.L.C.||||||||Failure to file annual report||||||||2019-02-28T00:00:00|Connecticut|Active|Ready for dissolution||False|False
