|account_number|annual_report_due_date|began_transacting_in_ct|business_city|business_country|business_email_address|business_name_in_state_country|business_state|business_street|business_type|business_unit|business_zip_code|category_survey_email_address|citizenship|country_formation|created_on|date_of_organization_meeting|disable_person_owned_organization|dissolution_date|formation_place|id|mail_jurisdiction|mailing_address|mailing_international_address|mailing_jurisdiction_address|mailing_jurisdiction_business_city|mailing_jurisdiction_business_country|mailing_jurisdiction_business_state|mailing_jurisdiction_business_street|mailing_jurisdiction_business_unit|mailing_jurisdiction_business_zip_code|minority_owned_organization|naics_code|naics_sub_code|name|office_jurisdiction_address|office_jurisdiction_business_city|office_jurisdiction_business_state|office_jurisdiction_business_street|office_jurisdiction_business_unit|office_jurisdiction_business_zip_code|office_jurisdiction_country|reason_for_administrative_dissolution|record_address|records_address_city|records_address_country|records_address_state|records_address_street|records_address_unit|records_address_zip_code|registration_date|state_or_territory_formation|status|sub_status|total_authorized_shares|veteran_owned_organization|woman_owned_organization
560000|0762744|2023-03-31T00:00:00||Enfield|United States|bobjr@artiolidodge.com||CT|525 Enfield St|Llc||06082||Domestic||2022-05-18T00:09:56.480000||False||Ct|row-ahhz-66hz-rik4|||||||||||False|Lessors of Nonresidential Buildings (except Miniwarehouses) (531120)||525 Enfield Street, Llc||||||||||||||||2003-10-14T00:00:00|Connecticut|Active|||False|False
560001|0766367|2023-03-31T00:00:00||Naugatuck|United States|schick@sodlosky.com||CT|250 Stone Fence Rd.|Llc||06770||Domestic||2022-05-18T00:09:57.843333||False||Ct|row-3rsq-8fiq-yhtq|||||||||||False|New Multifamily Housing Construction (except For-Sale Builders) (236116)|236116|Rebimbas Homes, Llc||||||||||||||||2003-11-20T00:00:00|Connecticut|Active|||False|False
560002|0767349|2022-12-03T00:00:00|2003-05-01T00:00:00|El Paso|United States|rvasquez@helenoftroy.com|IDELLE MANAGEMENT COMPANY|TX|1 Helen Of Troy Plaza|Stock||79912||Foreign|United States|2022-05-18T00:09:55.886666||False||Nv|row-qwze.9kqd~xxwy|||||||||||False|Corporate, Subsidiary, and Regional Managing Offices (551114)|551114|Idelle Management Company||||||||||||||||2003-12-03T00:00:00|NV|Active|Annual report due||False|False
560003|0763634|2023-03-31T00:00:00||Meriden|United States|fairytales46@sbcglobal.net||CT|470 Murdock Ave|Llc||06450||Domestic||2022-05-18T00:09:57.263333||False||Ct|row-68za.735j-yddx|||||||||||False|Child Day Care Services (624410)|624410|Fairy Tales Childcare & Development Center, Llc||||||||||||||||2003-10-23T00:00:00|Connecticut|Active|||False|False
560004|0766554|2014-03-31T00:00:00||Mystic||Jillianurso@yahoo.com||CT|142 Godfrey Road|Llc||06355||Domestic||2022-05-18T00:09:58.546666||False||Ct|row-gun6-dk57.imts|||||||||||False|||Watrous Home Improvements, L.L.C.||||||||Failure to file annual report||||||||2003-11-21T00:00:00|Connecticut|Active|Ready for dissolution||False|False
560005|0762867|2022-10-15T00:00:00|1989-10-01T00:00:00|Chambersburg|United States|familyoffice@potatorolls.com|MARTIN'S FAMOUS PASTRY SHOPPE, INC.|PA|1000 Potato Roll Ln|Stock||17202-8897|familyoffice@potatorolls.com|Foreign||2022-05-18T00:09:57.136666||False||Pa|row-u4gz~845u-wzqw|||||||||||False|Commercial Bakeries (311812)|311812|Martin'S Famous Pastry Shoppe, Inc.||||||||||||||||2003-10-15T00:00:00|PA|Active|Annual report due||False|False
560006|0763569|2004-10-21T00:00:00||Naugatuck||||CT|236 Prospect Street|Llc||06770||Domestic||2022-05-18T00:09:57.183333||False||Ct|row-2pfb-sujx-5hkp|||||||||||False|||Brass City Network, Llc||||||||Failure to file annual report||||||||2003-10-22T00:00:00|Connecticut|Forfeited|||False|False
560007|0767191|2023-03-31T00:00:00||Brooklyn|United States|wfsabourin@msn.com||CT|10 Malbone Lane|Llc||06234||Domestic||2022-05-18T00:09:58.563333||False||Ct|row-c8v9.k6u3-ehva|||||||||||False|Lessors of Residential Buildings and Dwellings (531110)|531110|Malbone Lane, Llc||||||||||||||||2003-11-28T00:00:00|Connecticut|Active|||False|False
560008|0764393|2004-10-26T00:00:00||Tariffville||||CT|7 Fairchild Rd|Llc||06081||Domestic||2022-05-18T00:09:57.876666||False||Ct|row-d4en~k6xs-a4us|||||||||||False|||Archer Strategic Research, Llc||||||||Failure to file annual report||||||||2003-10-27T00:00:00|Connecticut|Forfeited|||False|False
560009|0768169|2013-12-09T00:00:00||Milford||jweinshank@bmdlaw.com||CT|75 Broad Street|Non-Stock||06460||Domestic||2022-05-18T00:09:56.590000|2003-12-18T00:00:00|False||Ct|row-tue2-sh3k-hfct|||||||||||False|||The Stevek Foundation, Inc.||||||||Failure to file annual report||||||||2003-12-09T00:00:00|Connecticut|Active|Ready for dissolution||False|False
