|account_number|annual_report_due_date|began_transacting_in_ct|business_city|business_country|business_email_address|business_name_in_state_country|business_state|business_street|business_type|business_unit|business_zip_code|category_survey_email_address|citizenship|country_formation|created_on|date_of_organization_meeting|disable_person_owned_organization|dissolution_date|formation_place|id|mail_jurisdiction|mailing_address|mailing_international_address|mailing_jurisdiction_address|mailing_jurisdiction_business_city|mailing_jurisdiction_business_country|mailing_jurisdiction_business_state|mailing_jurisdiction_business_street|mailing_jurisdiction_business_unit|mailing_jurisdiction_business_zip_code|minority_owned_organization|naics_code|naics_sub_code|name|office_jurisdiction_address|office_jurisdiction_business_city|office_jurisdiction_business_state|office_jurisdiction_business_street|office_jurisdiction_business_unit|office_jurisdiction_business_zip_code|office_jurisdiction_country|reason_for_administrative_dissolution|record_address|records_address_city|records_address_country|records_address_state|records_address_street|records_address_unit|records_address_zip_code|registration_date|state_or_territory_formation|status|sub_status|total_authorized_shares|veteran_owned_organization|woman_owned_organization
970000|0789487|2012-07-03T00:00:00|2004-07-02T00:00:00|Braintree||SALES@PIPRE.COM|PARTNERS INVESTMENT PROPERTIES, LLC|MA|399 Washington St|Llc||02184||Foreign||2022-05-18T00:03:21.363333||False||Ma|row-kskw-m43b-pr2d|||||||||||False|||Partners Investment Properties, Llc|399 WASHINGTON STREET, BRAINTREE, MA, 02184,|Braintree|MA|399 Washington Street||02184||||||||||2004-07-02T00:00:00|MA|Cancelled|||False|False
970001|0865325|2008-07-03T00:00:00|2006-07-03T00:00:00|Mt Kisco|||BELLA DRY WALL LLC|NY|153 E. Main St Suite D|Llc||10549||Foreign||2022-05-18T00:06:20.130000||False||Ny|row-cg4c.r2h8-u57v|||||||||||False|||Bella Dry Wall Llc|153 E MAIN ST STE D, MT KISCO, NY, 10549,|Mt Kisco|NY|153 E Main St Ste D||10549||||||||||2006-07-03T00:00:00|NY|Cancelled|||False|False
970002|1037456||||||||No Information Provided|Stock||||Domestic||2022-05-18T00:06:15.380000||False|2015-06-25T00:00:00|Ct|row-7gay~7z3y-95ps|||||||||||False|||Book Warehouse Of Fairfield, Connecticut, Inc.||||||||||||||||2011-05-11T00:00:00|Connecticut|Dissolved||100|False|False
970003|1179702|2017-06-29T00:00:00||Milford||RICHARD.DECICCO@HOTMAIL.COM||CT|664 New Haven Avenue|Llc||06460||Domestic||2022-05-18T00:04:54.050000||False|2019-03-13T00:00:00|Ct|row-6m7e.97pb-wrwu|||||||||||False|||Melissa'S Place, Llc||||||||||||||||2015-06-29T00:00:00|Connecticut|Dissolved|||False|False
970004|0797365|2014-09-24T00:00:00||Unionville||tonykaplun@yahoo.com||CT|7 Litchfield Road|Llc||06085||Domestic||2022-05-18T00:03:30.550000||False|2014-10-17T00:00:00|Ct|row-jcip.kbqj.3eyi|||||||||||False|||A K Home & Office Maintenance Llc||||||||||||||||2004-09-23T00:00:00|Connecticut|Dissolved|||False|False
970005|0795404|2013-09-02T00:00:00||Bethany||JANKRAUS@AOL.COM||CT|335 Beacon Road|Llc||06524||Domestic||2022-05-18T00:06:15.456666||False|2013-08-05T00:00:00|Ct|row-brai~gv6y-97yd|||||||||||False|||Paul A. Kraus, M.D., Llc||||||||||||||||2004-09-01T00:00:00|Connecticut|Dissolved|||False|False
970006|1188771|2016-10-19T00:00:00||Salem||||CT|26 New London Rde., Unit #4 & 5|Llc||06420||Domestic||2022-05-18T00:06:19.410000||False|2019-01-07T00:00:00|Ct|row-4663-shv3-maz3|||||||||||False|||Cheon Su Spa Llc||||||||||||||||2015-10-19T00:00:00|Connecticut|Dissolved|||False|False
970007|0763196|2005-10-19T00:00:00||Manchester||||CT|100 Taylor Street|Llc||06040||Domestic||2022-05-18T00:04:51.396666||False|2005-04-08T00:00:00|Ct|row-ivk8-xi4t-rahb|||||||||||False|||Millard Wood Realty, Llc||||||||||||||||2003-10-20T00:00:00|Connecticut|Dissolved|||False|False
970008|0666009|2001-11-15T00:00:00||Greenwich||||CT|356 West Putnam Ave|Llc||06830||Domestic||2022-05-18T00:03:22.566666||False|2002-04-08T00:00:00|Ct|row-yta7.hviq~j9au|||||||||||False|||Paradiso Ristorante Italiano, Llc||||||||||||||||2000-11-15T00:00:00|Connecticut|Dissolved|||False|False
970009|1105896|2019-03-31T00:00:00||Stamford||fmcbrearity@ceooffices.com||CT|80 Brownhouse Road|Llc||06902||Domestic||2022-05-18T00:06:14.050000||False|2019-03-28T00:00:00|Ct|row-2xjk-eq4b-7e6r|||||||||||False|||Ceo Holly Hill, Llc||||||||||||||||2013-05-06T00:00:00|Connecticut|Dissolved|||False|False
970010|0809897|2007-02-02T00:00:00||East Hartford||||CT|201 Burke St|Llc||06118-3425||Domestic||2022-05-18T00:03:19.910000||False|2008-10-17T00:00:00|Ct|row-ybgj.mvwm.j74f|||||||||||False|||Aa & B Enterprises, Llc||||||||||||||||2005-02-02T00:00:00|Connecticut|Dissolved|||False|False
970011|0683312|2006-06-06T00:00:00||Andover||||CT|223 Long Hill Road|Llc||06232||Domestic||2022-05-18T00:06:16.740000||False|2006-02-27T00:00:00|Ct|row-f764-q4ap~vjqz|||||||||||False|||Gilmore Enterprises, Llc||||||||||||||||2001-06-06T00:00:00|Connecticut|Dissolved|||False|False
970012|1256373|2018-03-31T00:00:00||Bridgeport||||CT|254 Orland St|Llc||06605||Domestic||2022-05-18T00:06:20.883333||False|2018-03-02T00:00:00|Ct|row-ncnv~kjmx.k3fc|||||||||||False|||Fenix Home Improvement Llc||||||||||||||||2017-11-28T00:00:00|Connecticut|Dissolved|||False|False
970013|0786479|2005-06-03T00:00:00||West Hartford||||CT|12 Cody Street|Llc||06117||Domestic||2022-05-18T00:04:52.600000||False|2011-01-03T00:00:00|Ct|row-bxth-i9aj-cpgu|||||||||||False|||12 Cody Street, Llc||||||||||||||||2004-06-02T00:00:00|Connecticut|Dissolved|||False|False
970014|1374828|2023-03-31T00:00:00||Southport|United States|msalamon@essentialhcm.com||CT|930 Mill Hill Terrace|Llc||06890||Domestic||2022-05-18T00:03:26.943333||False||Ct|row-x4hp-h2jz.3fgh|||||||||||False|Lessors of Residential Buildings and Dwellings (531110)||Southport Propco Llc||||||||||||||||2021-02-23T00:00:00|Connecticut|Active|||False|False
970015|0532518|2001-03-31T00:00:00||Westport||||CT|5 Heron Lake|Llc||06880||Domestic||2022-05-18T00:04:56.083333||False|2000-05-26T00:00:00|Ct|row-7meg~e9zi-uc3y|||||||||||False|||Dakota Morris, L.L.C.||||||||||||||||1996-02-23T00:00:00|Connecticut|Dissolved|||False|False
970016|0783363|2008-05-03T00:00:00||Norwalk||||CT|12 High Street|Llc||06851||Domestic||2022-05-18T00:03:29.863333||False|2007-11-09T00:00:00|Ct|row-ppx3~bdrs-5686|||||||||||False|||Route Seven Realty, Llc||||||||||||||||2004-05-03T00:00:00|Connecticut|Dissolved|||False|False
